timestamp,regiao,consumo,capacidade,prioridade,custo
2026-01-05T00:00:00,Norte,655.91,880.0,4,180.77
2026-01-05T01:00:00,Norte,629.15,880.0,3,177.58
2026-01-05T02:00:00,Norte,579.9,880.0,2,186.49
2026-01-05T03:00:00,Norte,573.87,880.0,4,177.58
2026-01-05T04:00:00,Norte,522.26,880.0,2,177.41
2026-01-05T05:00:00,Norte,513.5,880.0,2,180.59
2026-01-05T06:00:00,Norte,481.25,880.0,2,169.37
2026-01-05T07:00:00,Norte,505.49,902.78,3,175.57
2026-01-05T08:00:00,Norte,507.08,924.0,2,181.4
2026-01-05T09:00:00,Norte,507.66,942.23,1,171.02
2026-01-05T10:00:00,Norte,521.85,956.21,2,177.15
2026-01-05T11:00:00,Norte,555.42,965.0,1,185.33
2026-01-05T12:00:00,Norte,558.1,968.0,4,191.61
2026-01-05T13:00:00,Norte,610.62,965.0,2,184.61
2026-01-05T14:00:00,Norte,667.48,956.21,3,178.44
2026-01-05T15:00:00,Norte,719.51,942.23,2,191.21
2026-01-05T16:00:00,Norte,711.03,924.0,4,191.61
2026-01-05T17:00:00,Norte,746.54,902.78,1,202.26
2026-01-05T18:00:00,Norte,828.91,880.0,1,332.07
2026-01-05T19:00:00,Norte,808.1,880.0,2,299.98
2026-01-05T20:00:00,Norte,794.56,880.0,2,266.76
2026-01-05T21:00:00,Norte,801.99,880.0,1,276.64
2026-01-05T22:00:00,Norte,680.94,880.0,1,170.64
2026-01-05T23:00:00,Norte,680.36,880.0,1,197.06
2026-01-06T00:00:00,Norte,698.05,880.0,1,199.87
2026-01-06T01:00:00,Norte,614.46,880.0,4,166.58
2026-01-06T02:00:00,Norte,583.1,880.0,3,191.37
2026-01-06T03:00:00,Norte,547.91,880.0,4,176.33
2026-01-06T04:00:00,Norte,515.3,880.0,2,173.48
2026-01-06T05:00:00,Norte,504.39,880.0,2,166.61
2026-01-06T06:00:00,Norte,499.53,880.0,2,179.03
2026-01-06T07:00:00,Norte,512.77,902.78,1,192.9
2026-01-06T08:00:00,Norte,494.74,924.0,2,170.31
2026-01-06T09:00:00,Norte,541.51,942.23,1,177.61
2026-01-06T10:00:00,Norte,503.79,956.21,2,171.38
2026-01-06T11:00:00,Norte,533.86,965.0,4,166.43
2026-01-06T12:00:00,Norte,614.45,968.0,1,166.08
2026-01-06T13:00:00,Norte,634.66,965.0,4,182.45
2026-01-06T14:00:00,Norte,665.57,956.21,2,177.0
2026-01-06T15:00:00,Norte,671.55,942.23,2,194.94
2026-01-06T16:00:00,Norte,709.79,924.0,2,170.66
2026-01-06T17:00:00,Norte,744.25,902.78,1,189.02
2026-01-06T18:00:00,Norte,779.8,880.0,4,255.56
2026-01-06T19:00:00,Norte,828.07,880.0,2,339.92
2026-01-06T20:00:00,Norte,789.87,880.0,2,272.77
2026-01-06T21:00:00,Norte,773.37,880.0,2,236.85
2026-01-06T22:00:00,Norte,723.1,880.0,3,209.89
2026-01-06T23:00:00,Norte,668.91,880.0,1,189.67
2026-01-07T00:00:00,Norte,645.18,880.0,2,171.62
2026-01-07T01:00:00,Norte,618.82,880.0,2,171.93
2026-01-07T02:00:00,Norte,572.25,880.0,1,170.72
2026-01-07T03:00:00,Norte,504.8,880.0,3,183.74
2026-01-07T04:00:00,Norte,536.47,880.0,2,191.75
2026-01-07T05:00:00,Norte,504.57,880.0,2,169.32
2026-01-07T06:00:00,Norte,541.56,880.0,3,176.67
2026-01-07T07:00:00,Norte,531.37,902.78,3,186.41
2026-01-07T08:00:00,Norte,556.95,924.0,2,173.14
2026-01-07T09:00:00,Norte,545.23,942.23,2,165.76
2026-01-07T10:00:00,Norte,587.18,956.21,2,182.84
2026-01-07T11:00:00,Norte,604.94,965.0,2,193.37
2026-01-07T12:00:00,Norte,630.36,968.0,1,171.27
2026-01-07T13:00:00,Norte,674.89,965.0,2,170.02
2026-01-07T14:00:00,Norte,678.97,956.21,1,178.15
2026-01-07T15:00:00,Norte,803.25,942.23,3,216.27
2026-01-07T16:00:00,Norte,811.1,924.0,1,243.86
2026-01-07T17:00:00,Norte,830.9,902.78,2,303.03
2026-01-07T18:00:00,Norte,902.43,880.0,2,497.87
2026-01-07T19:00:00,Norte,914.36,880.0,2,544.86
2026-01-07T20:00:00,Norte,926.48,880.0,2,578.27
2026-01-07T21:00:00,Norte,880.35,880.0,2,449.27
2026-01-07T22:00:00,Norte,780.67,880.0,2,245.24
2026-01-07T23:00:00,Norte,807.25,880.0,3,300.4
2026-01-08T00:00:00,Norte,682.82,880.0,2,179.92
2026-01-08T01:00:00,Norte,664.68,880.0,1,190.35
2026-01-08T02:00:00,Norte,627.84,880.0,2,168.4
2026-01-08T03:00:00,Norte,637.2,880.0,3,175.38
2026-01-08T04:00:00,Norte,597.38,880.0,1,182.15
2026-01-08T05:00:00,Norte,573.51,880.0,3,172.13
2026-01-08T06:00:00,Norte,534.13,880.0,1,192.28
2026-01-08T07:00:00,Norte,558.1,902.78,3,188.02
2026-01-08T08:00:00,Norte,519.82,924.0,1,177.11
2026-01-08T09:00:00,Norte,587.23,942.23,2,176.97
2026-01-08T10:00:00,Norte,557.36,956.21,1,179.77
2026-01-08T11:00:00,Norte,598.39,965.0,3,181.02
2026-01-08T12:00:00,Norte,630.83,968.0,4,192.11
2026-01-08T13:00:00,Norte,723.24,965.0,2,189.73
2026-01-08T14:00:00,Norte,699.21,956.21,3,175.53
2026-01-08T15:00:00,Norte,758.64,942.23,3,191.39
2026-01-08T16:00:00,Norte,771.22,924.0,2,224.65
2026-01-08T17:00:00,Norte,836.69,902.78,1,313.13
2026-01-08T18:00:00,Norte,903.77,880.0,4,506.37
2026-01-08T19:00:00,Norte,944.99,880.0,2,631.83
2026-01-08T20:00:00,Norte,892.47,880.0,3,475.33
2026-01-08T21:00:00,Norte,831.34,880.0,2,338.66
2026-01-08T22:00:00,Norte,794.13,880.0,3,280.9
2026-01-08T23:00:00,Norte,814.28,880.0,2,303.54
2026-01-09T00:00:00,Norte,781.81,880.0,2,264.61
2026-01-09T01:00:00,Norte,680.51,880.0,2,175.8
2026-01-09T02:00:00,Norte,663.26,880.0,3,170.7
2026-01-09T03:00:00,Norte,621.71,880.0,2,180.24
2026-01-09T04:00:00,Norte,589.81,880.0,3,184.31
2026-01-09T05:00:00,Norte,565.74,880.0,1,167.5
2026-01-09T06:00:00,Norte,550.1,880.0,3,178.13
2026-01-09T07:00:00,Norte,563.71,902.78,3,193.56
2026-01-09T08:00:00,Norte,561.85,924.0,2,186.02
2026-01-09T09:00:00,Norte,540.43,942.23,2,189.14
2026-01-09T10:00:00,Norte,616.49,956.21,3,169.82
2026-01-09T11:00:00,Norte,612.51,965.0,3,181.55
2026-01-09T12:00:00,Norte,644.08,968.0,2,175.55
2026-01-09T13:00:00,Norte,695.76,965.0,2,179.65
2026-01-09T14:00:00,Norte,730.24,956.21,2,166.69
2026-01-09T15:00:00,Norte,781.36,942.23,2,193.33
2026-01-09T16:00:00,Norte,808.3,924.0,3,247.88
2026-01-09T17:00:00,Norte,814.23,902.78,2,280.19
2026-01-09T18:00:00,Norte,891.49,880.0,3,463.19
2026-01-09T19:00:00,Norte,944.64,880.0,3,611.5
2026-01-09T20:00:00,Norte,922.28,880.0,3,542.06
2026-01-09T21:00:00,Norte,893.58,880.0,2,482.13
2026-01-09T22:00:00,Norte,761.88,880.0,3,229.96
2026-01-09T23:00:00,Norte,684.04,880.0,2,177.16
2026-01-10T00:00:00,Norte,598.15,880.0,3,185.2
2026-01-10T01:00:00,Norte,589.56,880.0,1,174.24
2026-01-10T02:00:00,Norte,534.16,880.0,1,185.33
2026-01-10T03:00:00,Norte,502.34,880.0,2,186.78
2026-01-10T04:00:00,Norte,475.4,880.0,4,167.95
2026-01-10T05:00:00,Norte,492.91,880.0,2,172.69
2026-01-10T06:00:00,Norte,471.06,880.0,2,192.5
2026-01-10T07:00:00,Norte,450.72,902.78,4,173.94
2026-01-10T08:00:00,Norte,453.41,924.0,4,182.77
2026-01-10T09:00:00,Norte,484.83,942.23,3,172.58
2026-01-10T10:00:00,Norte,484.54,956.21,2,167.92
2026-01-10T11:00:00,Norte,547.4,965.0,2,184.12
2026-01-10T12:00:00,Norte,546.44,968.0,2,179.1
2026-01-10T13:00:00,Norte,535.18,965.0,2,186.26
2026-01-10T14:00:00,Norte,608.29,956.21,2,190.79
2026-01-10T15:00:00,Norte,624.1,942.23,3,169.16
2026-01-10T16:00:00,Norte,625.65,924.0,2,192.99
2026-01-10T17:00:00,Norte,676.73,902.78,2,170.67
2026-01-10T18:00:00,Norte,775.03,880.0,3,250.06
2026-01-10T19:00:00,Norte,754.81,880.0,3,226.6
2026-01-10T20:00:00,Norte,764.21,880.0,1,233.99
2026-01-10T21:00:00,Norte,701.51,880.0,3,176.55
2026-01-10T22:00:00,Norte,652.23,880.0,2,179.6
2026-01-10T23:00:00,Norte,633.92,880.0,3,178.49
2026-01-11T00:00:00,Norte,622.74,880.0,3,183.13
2026-01-11T01:00:00,Norte,566.95,880.0,2,194.68
2026-01-11T02:00:00,Norte,541.44,880.0,3,176.59
2026-01-11T03:00:00,Norte,517.66,880.0,2,165.64
2026-01-11T04:00:00,Norte,475.65,880.0,1,171.77
2026-01-11T05:00:00,Norte,479.57,880.0,4,165.69
2026-01-11T06:00:00,Norte,453.81,880.0,1,187.62
2026-01-11T07:00:00,Norte,455.08,902.78,2,193.15
2026-01-11T08:00:00,Norte,488.39,924.0,4,166.32
2026-01-11T09:00:00,Norte,448.32,942.23,3,185.46
2026-01-11T10:00:00,Norte,496.01,956.21,2,169.19
2026-01-11T11:00:00,Norte,496.09,965.0,2,193.11
2026-01-11T12:00:00,Norte,556.71,968.0,2,193.28
2026-01-11T13:00:00,Norte,573.65,965.0,3,180.5
2026-01-11T14:00:00,Norte,634.64,956.21,2,175.96
2026-01-11T15:00:00,Norte,621.56,942.23,2,181.61
2026-01-11T16:00:00,Norte,671.4,924.0,4,181.43
2026-01-11T17:00:00,Norte,655.76,902.78,2,184.23
2026-01-11T18:00:00,Norte,734.73,880.0,2,211.69
2026-01-11T19:00:00,Norte,780.87,880.0,2,260.38
2026-01-11T20:00:00,Norte,767.38,880.0,2,252.16
2026-01-11T21:00:00,Norte,773.38,880.0,3,247.91
2026-01-11T22:00:00,Norte,666.23,880.0,3,191.23
2026-01-11T23:00:00,Norte,713.4,880.0,2,198.32
2026-01-12T00:00:00,Norte,715.99,880.0,2,183.92
2026-01-12T01:00:00,Norte,700.79,880.0,2,193.18
2026-01-12T02:00:00,Norte,661.79,880.0,2,171.6
2026-01-12T03:00:00,Norte,579.14,880.0,2,194.62
2026-01-12T04:00:00,Norte,592.75,880.0,4,190.91
2026-01-12T05:00:00,Norte,545.64,880.0,3,181.18
2026-01-12T06:00:00,Norte,556.98,880.0,2,175.21
2026-01-12T07:00:00,Norte,524.73,902.78,3,181.43
2026-01-12T08:00:00,Norte,531.7,924.0,2,179.76
2026-01-12T09:00:00,Norte,541.73,942.23,4,177.59
2026-01-12T10:00:00,Norte,613.12,956.21,2,185.24
2026-01-12T11:00:00,Norte,605.68,965.0,3,194.22
2026-01-12T12:00:00,Norte,677.77,968.0,2,180.47
2026-01-12T13:00:00,Norte,655.58,965.0,3,181.83
2026-01-12T14:00:00,Norte,704.41,956.21,3,192.9
2026-01-12T15:00:00,Norte,819.79,942.23,1,230.48
2026-01-12T16:00:00,Norte,840.59,924.0,4,297.14
2026-01-12T17:00:00,Norte,863.64,902.78,3,354.86
2026-01-12T18:00:00,Norte,911.35,880.0,3,514.47
2026-01-12T19:00:00,Norte,885.32,880.0,4,462.48
2026-01-12T20:00:00,Norte,922.1,880.0,3,554.75
2026-01-12T21:00:00,Norte,931.12,880.0,2,573.89
2026-01-12T22:00:00,Norte,787.35,880.0,1,269.91
2026-01-12T23:00:00,Norte,728.36,880.0,2,210.79
2026-01-13T00:00:00,Norte,718.15,880.0,3,205.05
2026-01-13T01:00:00,Norte,688.97,880.0,2,177.46
2026-01-13T02:00:00,Norte,634.02,880.0,2,190.06
2026-01-13T03:00:00,Norte,645.12,880.0,2,187.68
2026-01-13T04:00:00,Norte,607.08,880.0,3,191.63
2026-01-13T05:00:00,Norte,550.41,880.0,3,171.6
2026-01-13T06:00:00,Norte,549.59,880.0,1,188.53
2026-01-13T07:00:00,Norte,530.34,902.78,3,178.61
2026-01-13T08:00:00,Norte,563.5,924.0,2,190.9
2026-01-13T09:00:00,Norte,569.3,942.23,1,169.11
2026-01-13T10:00:00,Norte,553.03,956.21,2,173.21
2026-01-13T11:00:00,Norte,637.6,965.0,3,190.71
2026-01-13T12:00:00,Norte,657.0,968.0,1,168.95
2026-01-13T13:00:00,Norte,661.69,965.0,3,166.96
2026-01-13T14:00:00,Norte,752.87,956.21,3,199.63
2026-01-13T15:00:00,Norte,770.0,942.23,3,209.68
2026-01-13T16:00:00,Norte,803.49,924.0,3,230.88
2026-01-13T17:00:00,Norte,796.25,902.78,3,245.23
2026-01-13T18:00:00,Norte,875.6,880.0,4,438.22
2026-01-13T19:00:00,Norte,903.14,880.0,3,509.4
2026-01-13T20:00:00,Norte,889.41,880.0,3,451.12
2026-01-13T21:00:00,Norte,924.21,880.0,3,551.83
2026-01-13T22:00:00,Norte,782.16,880.0,3,263.6
2026-01-13T23:00:00,Norte,719.85,880.0,1,198.03
2026-01-14T00:00:00,Norte,730.63,880.0,1,218.91
2026-01-14T01:00:00,Norte,694.69,880.0,2,178.83
2026-01-14T02:00:00,Norte,651.95,880.0,2,167.43
2026-01-14T03:00:00,Norte,613.8,880.0,3,183.86
2026-01-14T04:00:00,Norte,571.77,880.0,1,189.82
2026-01-14T05:00:00,Norte,564.58,880.0,1,182.57
2026-01-14T06:00:00,Norte,554.66,880.0,2,189.75
2026-01-14T07:00:00,Norte,535.13,902.78,2,182.43
2026-01-14T08:00:00,Norte,539.83,924.0,2,188.5
2026-01-14T09:00:00,Norte,571.55,942.23,2,177.21
2026-01-14T10:00:00,Norte,556.31,956.21,2,168.88
2026-01-14T11:00:00,Norte,628.24,965.0,3,166.88
2026-01-14T12:00:00,Norte,629.38,968.0,2,166.01
2026-01-14T13:00:00,Norte,682.92,965.0,3,180.65
2026-01-14T14:00:00,Norte,746.67,956.21,2,169.81
2026-01-14T15:00:00,Norte,791.06,942.23,2,201.67
2026-01-14T16:00:00,Norte,742.41,924.0,2,204.28
2026-01-14T17:00:00,Norte,837.26,902.78,1,324.69
2026-01-14T18:00:00,Norte,790.85,880.0,2,258.51
2026-01-14T19:00:00,Norte,819.4,880.0,4,324.23
2026-01-14T20:00:00,Norte,820.79,880.0,4,311.07
2026-01-14T21:00:00,Norte,799.46,880.0,1,298.77
2026-01-14T22:00:00,Norte,694.89,880.0,2,180.71
2026-01-14T23:00:00,Norte,689.8,880.0,2,174.92
