tempo_s,desvio_s,operacoes,memoria_pico_kb,soma,algoritmo,n,tempo_por_n2_ns,tempo_por_nlogn_ns
0.00045822933333313404,1.0540578868528712e-05,5050,0.25,323.033669273609,forca_bruta,100,45.8229333333134,689.7038711319117
0.00019725528571434836,1.5990936653736256e-05,772,0.609375,323.033669273609,dividir_conquistar,100,19.725528571434836,296.89878901643834
0.002877560333333603,3.7654640407495225e-05,31375,0.25,262.28927596607156,forca_bruta,250,46.040965333337645,1444.9602100695954
0.0004907348571427304,1.2287070619378852e-05,2244,0.6796875,262.28927596607156,dividir_conquistar,250,7.851757714283687,246.42136397674125
0.014519830666666659,0.0041342847774655045,125250,0.40234375,274.4065610322182,forca_bruta,500,58.079322666666634,3238.9426748769692
0.0010538567142856742,2.2151956087127303e-05,4988,1.71875,274.4065610322182,dividir_conquistar,500,4.215426857142697,235.0841110662285
0.04710090533333311,0.0014448285844555662,500500,0.41015625,208.29545339689537,forca_bruta,1000,47.10090533333311,4726.261776087618
0.0021670202857144716,4.7818063958781124e-05,10976,2.0390625,208.29545339689537,dividir_conquistar,1000,2.1670202857144716,217.4460357374622
0.17378093300000005,0.0013754045048215337,2001000,0.41015625,616.3953771577369,forca_bruta,2000,43.445233250000015,7923.78039220909
0.004603941000000182,7.779988132579504e-05,23952,2.140625,616.3953771577368,dividir_conquistar,2000,1.1509852500000457,209.92301510251957
1.118708770333333,0.02327993163113929,12502500,0.41015625,706.7860050595409,forca_bruta,5000,44.74835081333332,18208.576759905452
0.012187234571429022,0.00012926507533542092,66808,2.53125,706.7860050595409,dividir_conquistar,5000,0.4874893828571609,198.36458072883195
